"id"|"first_name"|"last_name"|"address_1"|"suburb"|"state"|"postcode"|"policy_type"|"claim_date"|"claim_amount"
10711|"Sage"|"Dale"|"768-8225 Ut St."|"Cessnock"|"NSW"|2325|"hail"|"07/28/2014"|$35,101.28
10723|"Bertha"|"Mckenzie"|"911-3672 Turpis. St."|"Victor Harbor"|"SA"|5211|"fire"|"08/25/2015"|$43,106.22
10735|"Willa"|"Guy"|"170 Nibh Rd."|"Orange"|"NSW"|2800|"mud"|09/12/14|$45,602.50
10747|"Quemby"|"Blair"|"P.O. Box 797, 5145 Mus. Street"|"Penrith"|"NSW"|2750|"fire"|"03/29/2016"|$32,200.17
10759|"Karen"|"Rios"|"484-9831 Ac Street"|"Queanbeyan"|"NSW"|2620|"theft"|08/02/14|$46,340.69
10771|"Chanda"|"Vincent"|"8534 Non, Street"|"Bairnsdale"|"VIC"|3875|"fire"|07/03/14|$42,206.03
10783|"Heidi"|"Hardy"|"P.O. Box 853, 9536 Sit Ave"|"Redcliffe"|"QLD"|4020|"theft"|"11/28/2015"|$44,092.67
10795|"MacKenzie"|"Ray"|"Ap #402-5656 Risus, Ave"|"Launceston"|"TAS"|7250|"hail"|05/12/14|$10,175.64
10807|"Imogene"|"Townsend"|"355-2994 Venenatis Av."|"Newcastle"|"NSW"|2300|"breakage"|11/01/15|$20,847.43
10819|"Gillian"|"Daniels"|"Ap #910-9021 Sit St."|"Albury"|"NSW"|2640|"hail"|04/06/15|$16,421.73
10831|"Mona"|"Harris"|"Ap #386-3349 At, Ave"|"Townsville"|"QLD"|4810|"theft"|"07/25/2015"|$33,060.41
10843|"Jeanette"|"Kline"|"P.O. Box 887, 4446 Ut Avenue"|"Wangaratta"|"VIC"|3676|"hail"|01/05/15|$3,511.27
10855|"Lillian"|"Wood"|"P.O. Box 811, 9917 Neque Rd."|"Wangaratta"|"VIC"|3676|"fire"|"03/24/2015"|$2,175.66
10867|"Mariko"|"Gray"|"502-1732 Pellentesque Rd."|"Ararat"|"VIC"|3377|"breakage"|02/03/15|$30,069.23
10879|"Mari"|"Leach"|"923-8973 Lacus. Rd."|"Canning"|"WA"|"#N/A"|"breakage"|"05/15/2014"|$31,590.73
10891|"Victoria"|"Bauer"|"P.O. Box 648, 3724 Iaculis St."|"Sale"|"VIC"|3850|"fire"|"05/15/2015"|$49,696.02
10903|"Anjolie"|"Daniels"|"P.O. Box 488, 2469 Quisque Rd."|"Sydney"|"NSW"|1001|"hail"|"05/15/2015"|$27,283.08
10915|"Jocelyn"|"Pacheco"|"P.O. Box 917, 8733 Vivamus St."|"Blue Mountains"|"NSW"|"#N/A"|"fire"|"05/16/2015"|$23,666.59
10927|"Kimberly"|"Rasmussen"|"8098 Velit Rd."|"Blue Mountains"|"NSW"|"#N/A"|"flood"|"01/14/2015"|$7,321.44
10939|"Violet"|"Valentine"|"Ap #386-8664 Pellentesque. Rd."|"Queanbeyan"|"NSW"|2620|"flood"|"07/19/2014"|$13,986.40
10951|"Jillian"|"Schroeder"|"P.O. Box 320, 8110 Duis Ave"|"Liverpool"|"NSW"|1871|"hail"|"08/22/2015"|$10,558.72
10963|"Justina"|"Nelson"|"4001 Cum St."|"Mount Gambier"|"SA"|5290|"flood"|"06/26/2015"|$24,567.85
10975|"Nina"|"Wagner"|"Ap #725-5003 Congue. Road"|"Sale"|"VIC"|3850|"breakage"|"09/28/2014"|$7,258.82
10987|"Kai"|"Henderson"|"977-2211 Vitae St."|"Canberra"|"ACT"|2600|"hail"|"01/24/2016"|$31,411.61
10999|"Cheyenne"|"Hawkins"|"P.O. Box 967, 3572 In, Road"|"Bendigo"|"VIC"|3550|"fire"|"11/29/2014"|$49,151.69
11011|"Jennifer"|"Sullivan"|"P.O. Box 256, 743 Non, St."|"Parramatta"|"NSW"|1740|"mud"|"10/16/2015"|$14,478.75
11023|"Olga"|"Olsen"|"P.O. Box 348, 8468 Interdum. Av."|"Penrith"|"NSW"|2750|"hail"|01/07/15|$11,941.33
11035|"Melissa"|"Bowers"|"471-4841 In St."|"Canberra"|"ACT"|2600|"hail"|12/12/15|$36,597.32
11047|"Jillian"|"Bass"|"4146 Et, Avenue"|"Gladstone"|"QLD"|4680|"breakage"|"03/28/2016"|$27,465.61
11059|"Cheryl"|"Alford"|"155-8532 Viverra. Avenue"|"Mackay"|"QLD"|4740|"hail"|"10/14/2014"|$26,346.44
11071|"Haviva"|"Hardin"|"Ap #244-589 Accumsan Rd."|"Grafton"|"NSW"|2460|"flood"|"02/24/2015"|$4,387.39
11083|"Ann"|"Dickerson"|"921-3174 Ut Avenue"|"Subiaco"|"WA"|6008|"hail"|"02/19/2016"|$29,427.93
11095|"Alexa"|"Mcintyre"|"3682 Tortor Street"|"Launceston"|"TAS"|7250|"fire"|"03/26/2016"|$33,231.00
11107|"Bree"|"Hill"|"7144 Nunc Road"|"Bendigo"|"VIC"|3550|"flood"|10/08/15|$34,709.47
11119|"Mechelle"|"Tate"|"3553 Ipsum. St."|"Newcastle"|"NSW"|2300|"fire"|"05/14/2015"|$27,952.43
11131|"McKenzie"|"Sandoval"|"P.O. Box 345, 9038 Fermentum St."|"Wollongong"|"NSW"|2500|"fire"|02/08/15|$48,480.07
11143|"Breanna"|"Mullen"|"3958 Magnis Av."|"Newcastle"|"NSW"|2300|"fire"|"12/13/2015"|$44,510.09
11155|"Michelle"|"Jensen"|"P.O. Box 988, 468 Duis Av."|"Dubbo"|"NSW"|2830|"flood"|02/06/16|$12,105.51
11167|"Jael"|"Suarez"|"P.O. Box 352, 1911 Mauris Rd."|"Swan Hill"|"VIC"|3585|"fire"|"07/31/2014"|$15,872.49
11179|"Dahlia"|"Massey"|"1927 Ornare Rd."|"Liverpool"|"NSW"|1871|"flood"|07/11/15|$37,456.76
11191|"Aiko"|"Benson"|"P.O. Box 948, 2554 Pede. Ave"|"Orange"|"NSW"|2800|"mud"|01/02/16|$44,714.53
11203|"Claire"|"Garza"|"2981 Praesent St."|"Canberra"|"ACT"|2600|"mud"|"12/13/2015"|$29,188.44
11215|"Uma"|"Rosario"|"Ap #521-8812 Parturient Ave"|"Stirling"|"WA"|6021|"flood"|"02/18/2016"|$9,839.22
11227|"Alexandra"|"Williams"|"P.O. Box 677, 5684 Semper Road"|"Maryborough"|"QLD"|4650|"theft"|"03/28/2015"|$4,838.42
11239|"Riley"|"Cross"|"P.O. Box 515, 7160 Mi Rd."|"Bendigo"|"VIC"|3550|"fire"|"03/31/2015"|$26,554.15
11251|"Inez"|"Compton"|"P.O. Box 761, 979 Proin Avenue"|"Blue Mountains"|"NSW"|"#N/A"|"hail"|02/10/16|$22,234.52
11263|"Constance"|"Blake"|"P.O. Box 465, 164 Sit Street"|"Port Pirie"|"SA"|5540|"breakage"|05/10/14|$40,403.02
11275|"Xaviera"|"Kirby"|"P.O. Box 392, 3571 Lacus. Street"|"Whyalla"|"SA"|5600|"flood"|"07/13/2014"|$22,754.74
11287|"India"|"Conner"|"638-1548 Euismod Rd."|"Penrith"|"NSW"|2750|"flood"|"10/20/2015"|$45,938.02
11299|"Cheyenne"|"Hart"|"690-2819 Turpis. Street"|"Blue Mountains"|"NSW"|"#N/A"|"mud"|"01/14/2016"|$8,956.69
11311|"Madonna"|"Barnes"|"P.O. Box 239, 5521 Vestibulum Road"|"Broken Hill"|"NSW"|2880|"flood"|04/10/15|$12,070.97
11323|"Liberty"|"Gardner"|"5429 Amet Rd."|"Swan Hill"|"VIC"|3585|"fire"|"01/24/2016"|$14,242.92
11335|"Jolie"|"Hoover"|"995 Cras Av."|"Dandenong"|"VIC"|3175|"mud"|"02/14/2015"|$10,545.86
11347|"Xandra"|"Vaughan"|"5673 Duis Ave"|"Logan City"|"QLD"|"#N/A"|"breakage"|"02/21/2016"|$20,997.40
11359|"Shea"|"Foreman"|"1673 Fringilla, Avenue"|"Melbourne"|"VIC"|3000|"flood"|"02/17/2016"|$27,847.20
11371|"Rana"|"Moon"|"P.O. Box 241, 4234 Rhoncus. St."|"Benalla"|"VIC"|3671|"mud"|"01/16/2016"|$28,716.35
11383|"Rylee"|"Ross"|"979 Blandit Street"|"Ipswich"|"QLD"|4305|"hail"|"12/25/2014"|$23,754.51
11395|"Beatrice"|"Greene"|"Ap #751-6230 Sit Road"|"Ipswich"|"QLD"|4305|"breakage"|"03/19/2015"|$26,178.32
11407|"Jaquelyn"|"Sutton"|"347-1835 Quis Av."|"Dubbo"|"NSW"|2830|"theft"|09/05/15|$3,224.32
11419|"Fatima"|"Powell"|"300-8974 Enim. Avenue"|"Devonport"|"TAS"|7310|"theft"|"01/19/2015"|$39,339.71
11431|"Amena"|"Henderson"|"P.O. Box 461, 2279 Mauris St."|"Albury"|"NSW"|2640|"flood"|01/07/15|$40,416.85
11443|"Mona"|"Powell"|"7600 Vulputate, Avenue"|"Bairnsdale"|"VIC"|3875|"fire"|"08/15/2014"|$47,014.27
11455|"Christen"|"Guerra"|"Ap #293-8495 Enim St."|"Hamilton"|"VIC"|3300|"theft"|"02/25/2016"|$23,957.54
11467|"Hanae"|"Shepherd"|"7330 Libero St."|"Sydney"|"NSW"|1001|"mud"|"06/30/2015"|$46,719.01
11479|"Farrah"|"Chapman"|"Ap #888-228 Mauris Rd."|"Newcastle"|"NSW"|2300|"fire"|05/02/15|$33,678.69
11491|"Anika"|"Spence"|"7667 Elit, Rd."|"Melton"|"VIC"|3337|"mud"|"07/20/2015"|$24,498.52
11503|"Brynne"|"Briggs"|"2150 Donec St."|"Shepparton"|"VIC"|3630|"flood"|"02/19/2015"|$36,430.46
11515|"Jennifer"|"Brock"|"Ap #771-7041 Gravida Ave"|"Frankston"|"VIC"|3199|"flood"|03/05/15|$26,360.41
11527|"Celeste"|"Howell"|"914-2339 Nibh. Street"|"Lithgow"|"NSW"|2790|"hail"|"11/14/2014"|$49,379.67
11539|"Lisandra"|"Bruce"|"594-8953 Elit, Avenue"|"Victor Harbor"|"SA"|5211|"hail"|"06/14/2014"|$22,329.16
11551|"Constance"|"Stuart"|"503-3198 At, Av."|"Tamworth"|"NSW"|2340|"fire"|05/08/14|$23,964.60
11563|"Nadine"|"Shepard"|"394-2640 Cum Rd."|"Goulburn"|"NSW"|2580|"fire"|03/10/15|$3,499.43
11575|"Joan"|"Lang"|"923-6118 Suspendisse Ave"|"Swan Hill"|"VIC"|3585|"theft"|"07/17/2014"|$5,295.34
11587|"Nevada"|"Cummings"|"557-781 Cursus Avenue"|"Mildura"|"VIC"|3500|"hail"|03/08/16|$34,641.22
11599|"Audrey"|"Donovan"|"7723 Id, Rd."|"Shepparton"|"VIC"|3630|"fire"|"06/22/2014"|$7,120.22
11611|"Quinn"|"Burch"|"423-6671 Nunc Rd."|"Adelaide"|"SA"|5000|"flood"|"01/31/2015"|$37,048.09
11623|"Yolanda"|"Merrill"|"P.O. Box 234, 3619 Risus. Rd."|"Albury"|"NSW"|2640|"hail"|"08/19/2014"|$45,398.71
11635|"Maryam"|"Ellis"|"5683 Enim. Street"|"Whyalla"|"SA"|5600|"flood"|10/11/14|$30,509.96
11647|"Demetria"|"Snow"|"324-2556 Sed St."|"Frankston"|"VIC"|3199|"fire"|03/10/16|$35,953.35
11659|"Lysandra"|"Salas"|"192-7669 Lorem St."|"Brisbane"|"QLD"|4000|"hail"|03/12/15|$7,567.08
11671|"Aurelia"|"Boyd"|"P.O. Box 528, 8615 At St."|"Broken Hill"|"NSW"|2880|"hail"|"02/17/2016"|$27,578.47
11683|"Jemima"|"Salazar"|"P.O. Box 240, 7465 Luctus, Av."|"Toowoomba"|"QLD"|4350|"fire"|01/09/16|$16,797.71
11695|"Liberty"|"Kirkland"|"P.O. Box 230, 7006 Fringilla, Road"|"Dandenong"|"VIC"|3175|"hail"|"09/20/2014"|$37,858.78
11707|"Tanya"|"Pollard"|"506-5362 Vulputate Road"|"Gladstone"|"QLD"|4680|"breakage"|"04/18/2016"|$29,084.63
11719|"Lana"|"Wiggins"|"5476 Vitae Street"|"Sale"|"VIC"|3850|"theft"|"09/13/2014"|$29,985.14
11731|"Zena"|"Sharpe"|"2295 A Av."|"Horsham"|"VIC"|3400|"hail"|"03/19/2016"|$13,401.67
11743|"Ocean"|"Gordon"|"185-2732 Mattis St."|"Lithgow"|"NSW"|2790|"fire"|04/02/16|$13,421.90
11755|"Teagan"|"Chen"|"P.O. Box 556, 4349 Tellus Ave"|"Cairns"|"QLD"|4870|"theft"|"12/29/2014"|$33,507.18
11767|"Unity"|"Galloway"|"398-6007 Enim, Avenue"|"Armidale"|"NSW"|2350|"breakage"|"10/14/2015"|$16,580.85
11779|"Odessa"|"Browning"|"P.O. Box 977, 2371 Cras Ave"|"Hamilton"|"VIC"|3300|"hail"|07/04/14|$30,038.56
11791|"Tanya"|"Moreno"|"3678 Risus. Rd."|"Hamilton"|"VIC"|3300|"breakage"|05/02/15|$26,430.85
11803|"Blaine"|"Dickson"|"P.O. Box 230, 7501 Orci, Av."|"Wangaratta"|"VIC"|3676|"breakage"|"10/31/2015"|$37,459.03
11815|"Mona"|"Holder"|"345-573 In Rd."|"Bairnsdale"|"VIC"|3875|"theft"|"08/20/2014"|$40,108.14
11827|"Nina"|"Hodge"|"P.O. Box 132, 783 Cum Rd."|"Sydney"|"NSW"|1001|"breakage"|"02/21/2016"|$12,643.08
11839|"Jaquelyn"|"Hurley"|"Ap #724-6723 Sit St."|"Port Augusta"|"SA"|5700|"fire"|01/06/15|$18,300.78
11851|"Dora"|"Petty"|"Ap #940-1971 Fusce Road"|"Broken Hill"|"NSW"|2880|"fire"|11/03/15|$23,652.55
11863|"Alana"|"Walton"|"P.O. Box 449, 3831 Duis Rd."|"Mandurah"|"WA"|6210|"mud"|"03/23/2016"|$41,761.23
11875|"Chelsea"|"Smith"|"438-9982 Duis St."|"Caloundra"|"QLD"|4551|"fire"|"06/24/2014"|$24,502.30
11887|"Sonya"|"Browning"|"P.O. Box 720, 9507 Ultrices. St."|"Toowoomba"|"QLD"|4350|"fire"|02/12/16|$39,349.43
11899|"Ria"|"Cannon"|"3020 Tempus, St."|"Redcliffe"|"QLD"|4020|"breakage"|"08/19/2015"|$12,093.14
11911|"Ruby"|"Gray"|"Ap #913-7513 Inceptos Road"|"Launceston"|"TAS"|7250|"fire"|"10/15/2014"|$32,948.46
11923|"Guinevere"|"Stuart"|"P.O. Box 667, 9163 Taciti St."|"Townsville"|"QLD"|4810|"mud"|"07/28/2014"|$1,828.39
11935|"Raven"|"Miller"|"9965 Rhoncus Rd."|"Traralgon"|"VIC"|3844|"flood"|"07/28/2014"|$28,965.53
11947|"Myra"|"Gallegos"|"P.O. Box 354, 9480 Mollis Rd."|"Grafton"|"NSW"|2460|"mud"|"06/26/2015"|$48,558.11
11959|"Casey"|"Love"|"P.O. Box 960, 6916 Vitae Road"|"Charters Towers"|"QLD"|4820|"fire"|09/09/15|$16,127.09
11971|"Samantha"|"Gardner"|"731-1032 Id, Rd."|"Liverpool"|"NSW"|1871|"flood"|"05/31/2014"|$49,225.02
11983|"Rylee"|"Boyd"|"Ap #917-5856 Ut Av."|"Whyalla"|"SA"|5600|"theft"|"12/24/2014"|$22,954.40
11995|"Scarlet"|"Hammond"|"P.O. Box 773, 9893 Sodales. Street"|"Sale"|"VIC"|3850|"breakage"|04/10/16|$22,064.84
12007|"Gillian"|"David"|"Ap #817-6877 Pharetra, Av."|"Queanbeyan"|"NSW"|2620|"flood"|"05/31/2014"|$15,916.84
12019|"Charlotte"|"Anderson"|"P.O. Box 556, 5893 Facilisis Rd."|"Murray Bridge"|"SA"|5253|"hail"|11/10/14|$38,440.51
12031|"Hannah"|"Walter"|"P.O. Box 809, 3044 Rhoncus. Avenue"|"Bathurst"|"NSW"|2795|"flood"|04/07/16|$13,514.11
12043|"Virginia"|"Newton"|"Ap #263-5934 Id Av."|"Swan Hill"|"VIC"|3585|"fire"|11/12/15|$48,178.09
12055|"Teegan"|"Schultz"|"Ap #246-2837 Sagittis Road"|"Blue Mountains"|"NSW"|"#N/A"|"fire"|"08/16/2014"|$27,101.39
12067|"Yoko"|"Knowles"|"P.O. Box 846, 5573 Phasellus Rd."|"Caloundra"|"QLD"|4551|"breakage"|"12/15/2014"|$19,972.28
12079|"Kristen"|"Riddle"|"7405 Luctus Av."|"Mildura"|"VIC"|3500|"breakage"|"11/15/2014"|$38,911.18
12091|"Fredericka"|"Morgan"|"Ap #650-8278 Semper St."|"Hamilton"|"VIC"|3300|"breakage"|"11/23/2015"|$21,737.68
12103|"Karen"|"Hardin"|"1263 Gravida. Street"|"Campbelltown"|"NSW"|2560|"theft"|02/03/16|$11,830.52
12115|"Blair"|"Rivera"|"P.O. Box 586, 2471 Ornare, St."|"Darwin"|"NT"|"#N/A"|"fire"|"07/17/2015"|$41,383.19
12127|"Melissa"|"Campos"|"Ap #442-4079 Ridiculus Ave"|"Adelaide"|"SA"|5000|"flood"|"08/25/2014"|$10,337.17
12139|"Inez"|"Waller"|"326 Eu, Rd."|"Rockhampton"|"QLD"|4700|"mud"|"06/25/2015"|$38,222.08
12151|"Destiny"|"Kent"|"771-503 Ipsum St."|"Bayswater"|"WA"|6053|"theft"|"04/21/2016"|$25,265.45
12163|"Ignacia"|"Silva"|"428-4772 Magna Avenue"|"Queanbeyan"|"NSW"|2620|"mud"|"11/28/2015"|$29,936.16
12175|"Nicole"|"Frank"|"926-9885 Nulla. Street"|"Mildura"|"VIC"|3500|"flood"|"02/24/2015"|$12,721.42
12187|"Keely"|"Baker"|"2568 Cum St."|"Cessnock"|"NSW"|2325|"hail"|"01/19/2016"|$31,815.56
12199|"Jade"|"Figueroa"|"Ap #165-1326 Tempus St."|"Canberra"|"ACT"|2600|"flood"|03/09/16|$4,080.16
12211|"Morgan"|"Miller"|"Ap #533-8857 Nec Road"|"Adelaide"|"SA"|5000|"theft"|05/10/15|$46,215.58
12223|"Renee"|"Livingston"|"Ap #362-9238 Nam Street"|"Sydney"|"NSW"|1001|"mud"|12/12/14|$12,996.92
12235|"Hedy"|"Hewitt"|"559 Ipsum Road"|"Campbelltown"|"NSW"|2560|"fire"|"08/18/2015"|$12,090.20
12247|"Cassady"|"Mckee"|"P.O. Box 225, 231 Dolor Avenue"|"Hamilton"|"VIC"|3300|"mud"|11/07/15|$36,830.53
12259|"Martina"|"Willis"|"245 Ligula Street"|"Charters Towers"|"QLD"|4820|"fire"|"02/29/2016"|$44,721.27
12271|"Fay"|"Frank"|"Ap #448-7923 Cras Rd."|"Mount Isa"|"QLD"|4825|"hail"|03/05/15|$28,773.06
12283|"Minerva"|"Sullivan"|"Ap #892-6555 Enim. Road"|"Belgrave"|"VIC"|3160|"breakage"|06/09/15|$44,986.35
12295|"Angela"|"Wilkinson"|"Ap #911-8782 Tellus Rd."|"Gladstone"|"QLD"|4680|"flood"|"06/25/2014"|$12,180.59
12307|"Marny"|"Keller"|"Ap #493-7401 Nibh. Rd."|"Parramatta"|"NSW"|1740|"flood"|"08/20/2015"|$37,703.63
12319|"Destiny"|"Martinez"|"P.O. Box 512, 7339 Vitae Rd."|"Grafton"|"NSW"|2460|"theft"|"12/21/2015"|$1,005.62
12331|"Danielle"|"Mcconnell"|"900-2289 Molestie St."|"Morwell"|"VIC"|3840|"hail"|"07/13/2015"|$11,433.56
12343|"Yetta"|"Mccray"|"P.O. Box 888, 5121 Eu Avenue"|"Dandenong"|"VIC"|3175|"theft"|10/04/15|$2,756.04
